attr1,attr2,value
1.0000e+00,1.0000e+00,2.3000e+01
1.0000e+00,3.0000e+00,2.0000e+01
1.0000e+00,4.0000e+00,2.2000e+01
1.0000e+00,5.0000e+00,1.4000e+01
1.0000e+00,6.0000e+00,1.3000e+01
2.0000e+00,1.0000e+00,1.8000e+01
2.0000e+00,2.0000e+00,2.5000e+01
2.0000e+00,3.0000e+00,7.3000e+01
2.0000e+00,4.0000e+00,2.7000e+01
2.0000e+00,5.0000e+00,1.3000e+01
2.0000e+00,6.0000e+00,8.0000e+00
3.0000e+00,1.0000e+00,4.5000e+01
3.0000e+00,3.0000e+00,3.3000e+01
3.0000e+00,4.0000e+00,5.0000e+01
3.0000e+00,5.0000e+00,4.7000e+01
3.0000e+00,6.0000e+00,1.0000e+01
5.0000e+00,1.0000e+00,2.3000e+01
5.0000e+00,3.0000e+00,1.0000e+02
5.0000e+00,4.0000e+00,1.0000e+02
5.0000e+00,5.0000e+00,3.4000e+01
5.0000e+00,6.0000e+00,1.6000e+01
5.0000e+00,8.0000e+00,2.8000e+01
6.0000e+00,1.0000e+00,2.2000e+01
6.0000e+00,3.0000e+00,3.7000e+01
6.0000e+00,5.0000e+00,4.4000e+01
6.0000e+00,6.0000e+00,2.6000e+01
7.0000e+00,1.0000e+00,1.4000e+01
7.0000e+00,2.0000e+00,6.6000e+01
7.0000e+00,3.0000e+00,1.0000e+02
7.0000e+00,4.0000e+00,7.5000e+01
7.0000e+00,5.0000e+00,6.6000e+01
7.0000e+00,6.0000e+00,1.1000e+01
