Date,Berri1,CSC,Maisonneuve1,Maisonneuve2,Parc,PierDup,Rachel-Hôtel_de_Ville,Totem_Laurier
01/01/2014,9,0,22,28,14,3,8,77
02/01/2014,9,0,18,41,14,0,18,115
03/01/2014,28,0,34,64,32,0,27,179
04/01/2014,27,0,21,59,22,2,34,128
05/01/2014,55,0,25,73,21,10,53,22
06/01/2014,53,2,49,142,53,2,72,16
07/01/2014,139,0,76,202,71,4,90,19
08/01/2014,115,3,98,232,109,1,106,22
09/01/2014,129,0,120,296,93,0,166,24
10/01/2014,132,2,137,309,103,2,185,43
11/01/2014,29,3,29,85,20,0,88,37
12/01/2014,101,0,46,122,47,5,108,57
13/01/2014,328,5,242,564,183,7,278,142
14/01/2014,418,91,268,569,237,6,271,129
15/01/2014,468,170,282,622,245,3,260,132
16/01/2014,509,208,322,687,289,6,328,151
17/01/2014,433,177,286,589,239,6,270,102
18/01/2014,251,69,146,274,115,26,219,82
19/01/2014,106,39,70,121,56,4,111,51
20/01/2014,308,117,164,359,161,7,164,34
21/01/2014,304,88,170,309,138,6,156,29
22/01/2014,291,91,162,335,148,2,117,77
23/01/2014,290,87,159,312,149,5,96,67
24/01/2014,247,86,160,264,130,4,105,79
25/01/2014,90,24,37,110,34,4,63,16
26/01/2014,73,7,24,61,34,0,36,4
27/01/2014,168,12,89,184,76,5,73,37
28/01/2014,193,27,143,294,106,7,115,42
29/01/2014,241,80,148,343,115,6,108,65
30/01/2014,326,103,206,387,143,7,152,87
31/01/2014,346,157,224,383,173,13,233,117
01/02/2014,135,33,75,151,77,28,127,64
02/02/2014,68,9,32,89,1,4,61,35
03/02/2014,107,146,198,423,73,2,184,88
04/02/2014,351,134,190,406,83,22,186,100
05/02/2014,249,84,145,353,69,4,136,59
06/02/2014,233,55,137,353,97,0,125,8
07/02/2014,225,92,124,307,65,8,146,37
08/02/2014,101,37,51,103,43,5,81,28
09/02/2014,80,35,35,91,32,5,77,41
10/02/2014,270,139,141,377,150,7,155,60
11/02/2014,305,137,171,405,151,0,146,92
12/02/2014,329,137,197,403,156,2,159,96
13/02/2014,355,130,199,416,168,2,148,101
14/02/2014,161,3,64,152,61,0,64,27
15/02/2014,114,4,53,127,27,2,88,34
16/02/2014,109,43,84,125,47,0,130,35
17/02/2014,269,112,192,323,129,2,149,70
18/02/2014,284,104,133,333,118,8,154,44
19/02/2014,361,153,209,405,128,4,231,137
20/02/2014,431,186,257,498,183,6,255,182
21/02/2014,251,104,163,268,95,6,155,124
22/02/2014,260,87,144,276,78,20,224,130
23/02/2014,184,84,114,228,77,17,212,138
24/02/2014,289,177,204,523,164,1,199,206
25/02/2014,330,198,226,519,188,9,190,188
26/02/2014,254,88,169,381,137,1,150,65
27/02/2014,300,133,206,398,155,0,137,127
28/02/2014,263,111,162,304,154,3,134,137
01/03/2014,141,39,94,155,60,10,111,79
02/03/2014,114,23,50,125,54,7,71,50
03/03/2014,264,98,167,381,141,1,139,161
04/03/2014,280,87,169,388,123,0,119,98
05/03/2014,316,84,170,328,120,0,126,87
06/03/2014,345,102,197,387,154,0,154,174
07/03/2014,382,139,245,492,182,21,216,213
08/03/2014,234,95,167,282,116,21,251,180
09/03/2014,181,91,106,243,84,14,187,146
10/03/2014,327,182,201,398,174,3,154,114
11/03/2014,438,174,265,534,234,4,231,172
12/03/2014,289,91,157,366,145,1,159,123
13/03/2014,205,0,98,277,68,0,71,3
14/03/2014,297,7,131,361,107,0,52,97
15/03/2014,177,48,110,205,78,0,169,142
16/03/2014,111,38,75,166,53,0,88,90
17/03/2014,285,190,234,477,205,0,175,164
18/03/2014,456,225,289,611,270,0,297,277
19/03/2014,436,240,287,615,280,0,277,248
20/03/2014,319,143,189,414,174,0,194,148
21/03/2014,323,183,281,562,242,1,314,273
22/03/2014,88,13,63,108,31,0,84,45
23/03/2014,93,17,65,127,54,3,96,66
24/03/2014,281,142,208,475,197,2,178,185
25/03/2014,399,211,298,660,268,2,282,291
26/03/2014,392,237,277,676,281,3,288,297
27/03/2014,442,243,291,648,297,3,283,269
28/03/2014,208,60,134,323,145,0,130,80
29/03/2014,193,105,158,312,112,7,252,210
30/03/2014,70,6,40,78,27,0,42,38
31/03/2014,378,140,238,558,214,5,285,226
01/04/2014,783,364,469,1023,437,17,449,418
02/04/2014,811,221,575,1208,534,18,529,468
03/04/2014,976,286,648,1484,690,40,633,507
04/04/2014,765,244,537,1253,643,40,668,527
05/04/2014,288,89,201,488,240,31,360,285
06/04/2014,604,226,395,891,496,267,919,456
07/04/2014,1336,398,868,1848,1083,283,1140,728
08/04/2014,590,179,368,862,532,50,434,379
09/04/2014,1547,465,1016,1996,1139,181,1089,738
10/04/2014,1828,528,1138,2377,1413,368,1386,979
11/04/2014,1911,521,1240,2452,1418,434,1649,1056
12/04/2014,1746,409,884,1706,972,1158,1729,1034
13/04/2014,510,128,338,639,396,137,676,586
14/04/2014,1518,501,1039,2063,1172,473,1303,968
15/04/2014,977,254,607,1055,674,106,616,535
16/04/2014,1100,304,703,1217,737,73,766,577
17/04/2014,2053,534,1415,2403,1410,414,1436,1180
18/04/2014,1396,289,882,1681,886,627,1233,922
19/04/2014,1392,252,895,1717,829,804,1553,965
20/04/2014,1540,364,773,1636,1031,1255,2024,958
21/04/2014,1797,855,1062,2219,1181,1226,1601,1010
22/04/2014,1569,823,910,1790,1067,199,1040,867
23/04/2014,2357,1234,1567,2851,1604,472,1613,1306
24/04/2014,2990,1674,1943,3605,2052,1002,2270,1668
25/04/2014,3230,1601,2168,3866,2115,1142,2374,1703
26/04/2014,502,279,386,706,403,103,649,554
27/04/2014,1149,566,781,1299,711,555,1247,799
28/04/2014,3211,1689,2090,3621,2158,996,2297,1691
29/04/2014,3436,1815,2305,4234,2441,1263,2605,1779
30/04/2014,1595,840,1065,2010,1161,210,1243,961
01/05/2014,1889,898,1266,2259,1315,395,1514,1011
02/05/2014,2870,1518,1921,3593,1828,721,2287,1564
03/05/2014,1651,930,1044,2051,974,783,1948,1253
04/05/2014,574,266,358,822,375,111,698,517
05/05/2014,2990,1736,2006,3629,2205,862,2233,1756
06/05/2014,4541,2230,2822,5069,2719,1501,3144,2160
07/05/2014,4997,2479,3224,5529,3161,1965,3711,2366
08/05/2014,5105,2387,3128,5815,3245,1826,3704,2568
09/05/2014,3327,1513,2171,3977,2229,869,2492,1861
10/05/2014,2888,1201,1750,3354,1592,1586,3021,1897
11/05/2014,3344,1414,1687,3142,1821,2773,3885,1927
12/05/2014,5151,2530,3426,6068,3418,2121,3631,2736
13/05/2014,4603,2192,3028,5324,3027,1680,3180,2397
14/05/2014,4474,2130,3092,5672,3038,1243,3276,2501
15/05/2014,5503,2621,3817,6491,3492,1854,3978,2800
16/05/2014,2342,1035,1495,2910,1749,511,1672,1425
17/05/2014,2185,887,1521,2559,1116,805,2374,1473
18/05/2014,3532,1253,1762,3257,1780,2894,3736,1882
19/05/2014,3635,1523,1845,3344,1701,3352,3429,2197
20/05/2014,6064,2807,4034,6725,3793,2553,4250,3065
21/05/2014,6249,2917,4109,6993,3948,2459,4292,3235
22/05/2014,3846,1736,2545,4490,2509,957,2542,2247
23/05/2014,3823,1668,2698,4838,2408,1174,2961,3017
24/05/2014,3635,1406,2244,3813,1805,2350,3579,3146
25/05/2014,4487,1606,2412,4157,2286,3889,4516,3157
26/05/2014,3564,1564,2419,4383,2429,801,2417,2589
27/05/2014,1907,860,1329,2354,1429,272,1448,1684
28/05/2014,3504,1556,2402,4092,2302,1083,2681,2585
29/05/2014,6047,2654,4168,6617,3771,2465,4188,3930
30/05/2014,4732,2131,3473,5447,3315,1272,5717,4006
31/05/2014,4133,1609,2880,4366,2150,2244,4167,3886
01/06/2014,7900,2281,2752,4733,3431,2739,9346,4344
02/06/2014,6183,2850,3962,6958,3860,1458,4182,4070
03/06/2014,3494,1505,2311,4236,2405,419,2317,2622
04/06/2014,5589,2642,3700,6917,3786,970,3951,4014
05/06/2014,4552,2151,2937,5460,3110,682,3304,3297
06/06/2014,4941,2260,3316,5825,3252,899,3944,3756
07/06/2014,4721,1754,2715,4793,2378,1585,4345,3785
