Country,Region,Income,LifeExpectancy,Population
Albania,Europe & Central Asia,5165.121207,74.27153659,3089027
Algeria,Middle East & North Africa,10211.10337,70.18390244,31183658
Angola,Sub-Saharan Africa,3831.000021,45.20478049,15058638
Antigua and Barbuda,Latin America & Caribbean,19318.71849,73.39729268,77648
Armenia,Europe & Central Asia,2918.557686,71.27658537,3076098
Australia,East Asia & Pacific,35244.50263,79.23414634,19153000
Austria,Europe & Central Asia,38622.92558,78.12682927,8011566
Azerbaijan,Europe & Central Asia,4458.998423,66.7582439,8048600
Bahamas. The,Latin America & Caribbean,25846.70857,72.25429268,297891
Bahrain,Middle East & North Africa,45156.14357,74.5994878,666855
Bangladesh,South Asia,1645.717242,65.34797561,131280739
Barbados,Latin America & Caribbean,14437.50356,73.2195122,269838
Belarus,Europe & Central Asia,7299.604275,68.91219512,10005000
Belgium,Europe & Central Asia,36901.24318,77.72195122,10251250
Belize,Latin America & Caribbean,6953.7627,68.41887805,247312
Benin,Sub-Saharan Africa,1646.464433,55.1882439,6949366
Bhutan,South Asia,3596.661058,60.65039024,564187
Bolivia,Latin America & Caribbean,4412.255626,60.69004878,8339512
Bosnia and Herzegovina,Europe & Central Asia,6217.080333,74.26073171,3792878
Botswana,Sub-Saharan Africa,10361.31364,48.69363415,1736579
Brazil,Latin America & Caribbean,11308.43784,70.04197561,175786441
Brunei Darussalam,East Asia & Pacific,74755.9277,75.28880488,330554
Bulgaria,Europe & Central Asia,8945.390742,71.66341463,8170172
Burkina Faso,Sub-Saharan Africa,1045.953314,50.34592683,11607944
Burundi,Sub-Saharan Africa,713.2697675,51.4854878,6767073
Cabo Verde,Sub-Saharan Africa,3803.260335,69.72439024,438737
Cambodia,East Asia & Pacific,1370.822021,58.35087805,12197905
Cameroon,Sub-Saharan Africa,2403.863858,51.93587805,15927713
Canada,North America,37431.91698,79.23658537,30769700
Central African Republic,Sub-Saharan Africa,834.7545028,44.59729268,3726048
Chile,Latin America & Caribbean,14887.8983,76.82082927,15170387
China,East Asia & Pacific,3678.160366,71.73046341,1262645000
Colombia,Latin America & Caribbean,8308.222744,70.98870732,40403959
Comoros,Sub-Saharan Africa,1415.811812,59.43890244,547696
Congo. Dem. Rep.,Sub-Saharan Africa,518.497586,50.00287805,48048664
